kod_nadzsj_d,Obydlené byty celkem,Obydlené byty - období výstavby nebo rekonstrukce domu: 1919 a dříve,Obydlené byty - období výstavby nebo rekonstrukce domu: 1920 - 1945,Obydlené byty - období výstavby nebo rekonstrukce domu: 1946 - 1970,Obydlené byty - období výstavby nebo rekonstrukce domu: 1971 - 1980,Obydlené byty - období výstavby nebo rekonstrukce domu: 1981 - 1990,Obydlené byty - období výstavby nebo rekonstrukce domu: 1991 - 2000,Obydlené byty - období výstavby nebo rekonstrukce domu: 2001 - 2010,Obydlené byty - období výstavby nebo rekonstrukce domu: 2011 - 2015,Obydlené byty - období výstavby nebo rekonstrukce domu: 2016 a později,Obydlené byty - období výstavby nebo rekonstrukce domu: nezjištěno,Obydlené byty  v rodinných domech,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1919 a dříve,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1920 - 1945,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1946 - 1970,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1971 - 1980,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1981 - 1990,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1991 - 2000,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 2001 - 2010,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 2011 - 2015,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 2016 a později,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: nezjištěno,Obydlené byty  v bytových domech,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1919 a dříve,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1920 - 1945,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1946 - 1970,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1971 - 1980,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1981 - 1990,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1991 - 2000,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 2001 - 2010,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 2011 - 2015,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 2016 a později,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: nezjištěno,Obydlené byty v ostatních budovách,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1919 a dříve,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1920 - 1945,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1946 - 1970,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1971 - 1980,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1981 - 1990,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1991 - 2000,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 2001 - 2010,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 2011 - 2015,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 2016 a později,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: nezjištěno
1270600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50005401,538,482,32,1,0,9,9,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,518,469,31,0,0,9,9,0,0,0,0,19,13,0,1,0,0,0,3,0,0,2
50005402,1120,749,279,18,0,0,43,0,4,0,27,13,8,0,0,0,0,2,0,0,0,3,1061,723,257,18,0,0,41,0,4,0,18,46,18,22,0,0,0,0,0,0,0,6
50005403,1072,508,402,49,28,0,25,0,19,0,41,12,5,2,0,0,0,0,0,0,0,5,998,481,397,44,27,0,24,0,0,0,25,62,22,3,5,1,0,1,0,19,0,11
50005404,1549,1015,320,39,1,1,65,28,0,0,80,59,37,0,0,1,1,1,0,0,0,19,1429,960,310,39,0,0,57,27,0,0,36,61,18,10,0,0,0,7,1,0,0,25
50005405,1282,870,225,10,0,19,57,40,0,2,59,18,9,3,0,0,0,3,0,0,0,3,1226,847,221,10,0,16,41,35,0,2,54,38,14,1,0,0,3,13,5,0,0,2
50005407,1740,726,788,30,2,0,47,28,74,2,43,15,15,0,0,0,0,0,0,0,0,0,1640,694,782,30,0,0,39,27,34,2,32,85,17,6,0,2,0,8,1,40,0,11
50005408,2336,1334,677,12,0,4,67,38,10,0,194,13,7,0,0,0,0,0,1,3,0,2,2232,1297,663,12,0,4,64,20,6,0,166,91,30,14,0,0,0,3,17,1,0,26
50005409,900,526,248,1,12,0,22,26,3,8,54,11,7,0,0,0,0,1,0,0,0,3,813,488,231,0,12,0,17,19,0,3,43,76,31,17,1,0,0,4,7,3,5,8
50005411,744,491,81,41,10,0,79,19,0,0,23,55,25,3,3,4,0,6,3,0,0,11,655,454,77,38,6,0,72,8,0,0,0,34,12,1,0,0,0,1,8,0,0,12
50005412,1160,792,150,3,3,27,48,29,0,0,108,46,30,6,0,3,0,0,3,0,0,4,1083,745,142,3,0,27,48,22,0,0,96,31,17,2,0,0,0,0,4,0,0,8
50005413,14,1,0,1,0,0,1,0,0,0,11,2,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,9,3,1,0,0,0,0,1,0,0,0,1
50005414,55,47,1,1,0,0,0,0,0,0,6,14,13,0,1,0,0,0,0,0,0,0,25,24,1,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,6
50005416,273,233,0,1,10,3,7,0,0,0,19,53,33,0,1,3,3,2,0,0,0,11,207,190,0,0,7,0,5,0,0,0,5,13,10,0,0,0,0,0,0,0,0,3
1318060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3174620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3183960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50022401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50022402,1142,300,417,0,17,0,26,372,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1141,300,417,0,17,0,26,372,0,9,0,1,0,0,0,0,0,0,0,0,0,1
50022404,485,53,354,3,5,1,7,47,8,4,3,167,15,125,0,5,1,6,6,6,3,0,317,38,229,3,0,0,1,41,2,1,2,1,0,0,0,0,0,0,0,0,0,1
50022405,299,242,20,0,0,0,7,16,8,0,6,0,0,0,0,0,0,0,0,0,0,0,296,239,20,0,0,0,7,16,8,0,6,3,3,0,0,0,0,0,0,0,0,0
50022406,510,0,211,260,34,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,507,0,210,259,34,0,4,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
50022407,164,0,0,0,0,0,6,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,158,0,6,0,0,0,0,0,6,0,0,0,0
50022408,3313,679,1698,269,0,145,110,258,65,87,2,20,9,1,0,0,0,4,4,1,1,0,3206,669,1620,269,0,145,106,251,64,80,2,87,1,77,0,0,0,0,3,0,6,0
50022409,35,0,7,1,0,0,25,2,0,0,0,9,0,7,0,0,0,0,2,0,0,0,25,0,0,0,0,0,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
50022410,149,2,68,17,14,2,6,9,21,9,1,106,2,59,2,14,2,6,7,4,9,1,42,0,9,15,0,0,0,2,16,0,0,1,0,0,0,0,0,0,0,1,0,0
50022411,2409,209,956,918,0,104,0,83,113,26,0,10,0,10,0,0,0,0,0,0,0,0,2395,209,946,914,0,104,0,83,113,26,0,4,0,0,4,0,0,0,0,0,0,0
50022413,2855,0,335,2307,0,0,82,3,128,0,0,3,0,0,0,0,0,3,0,0,0,0,2851,0,335,2306,0,0,79,3,128,0,0,1,0,0,1,0,0,0,0,0,0,0
50022414,999,0,0,1,557,0,0,1,438,0,2,1,0,0,1,0,0,0,0,0,0,0,995,0,0,0,557,0,0,0,438,0,0,3,0,0,0,0,0,0,1,0,0,2
50022415,2208,558,879,598,0,0,49,35,0,89,0,0,0,0,0,0,0,0,0,0,0,0,2205,557,878,597,0,0,49,35,0,89,0,3,1,1,1,0,0,0,0,0,0,0
50022416,2850,62,1500,606,18,66,135,153,45,250,15,9,4,0,0,0,0,0,2,0,0,3,2814,58,1496,606,18,66,133,130,45,250,12,27,0,4,0,0,0,2,21,0,0,0
50022417,1231,0,156,843,0,203,12,12,3,0,2,2,0,0,2,0,0,0,0,0,0,0,1225,0,156,839,0,203,12,12,3,0,0,4,0,0,2,0,0,0,0,0,0,2
50022418,1628,809,431,4,0,0,132,158,37,54,3,14,6,2,0,0,0,1,0,0,2,3,1596,790,429,4,0,0,128,158,35,52,0,18,13,0,0,0,0,3,0,2,0,0
