kod_nadzsj_d,Obyvatelstvo - pracovní síla - celkem,Obyvatelstvo - pracovní síla - muži,Obyvatelstvo - pracovní síla - ženy,Obyvatelstvo - ekon. aktivita: zaměstnaní - celkem,Obyvatelstvo - ekon. aktivita: zaměstnaní - muži,Obyvatelstvo - ekon. aktivita: zaměstnaní - ženy,Obyvatelstvo - ekon. aktivita: pracující žáci a studenti - celkem,Obyvatelstvo - ekon. aktivita: pracující žáci a studenti - muži,Obyvatelstvo - ekon. aktivita: pracující žáci a studenti - ženy,Obyvatelstvo - ekon. aktivita: pracující důchodci - celkem,Obyvatelstvo - ekon. aktivita: pracující důchodci - muži,Obyvatelstvo - ekon. aktivita: pracující důchodci - ženy,Obyvatelstvo - ekon. aktivita: osoby na mateřské dovolené - celkem,Obyvatelstvo - ekon. aktivita: osoby na mateřské dovolené - muži,Obyvatelstvo - ekon. aktivita: osoby na mateřské dovolené - ženy,Obyvatelstvo - ekon. aktivita: nezaměstnaní - celkem,Obyvatelstvo - ekon. aktivita: nezaměstnaní - muži,Obyvatelstvo - ekon. aktivita: nezaměstnaní - ženy,Obyvatelstvo - mimo pracovní sílu - celkem,Obyvatelstvo - mimo pracovní sílu - muži,Obyvatelstvo - mimo pracovní sílu - ženy,Obyvatelstvo - ekon. aktivita: nepracující důchodci - celkem,Obyvatelstvo - ekon. aktivita: nepracující důchodci - muži,Obyvatelstvo - ekon. aktivita: nepracující důchodci - ženy,Obyvatelstvo - ekon. aktivita: ostatní s vlastním zdrojem obživy - celkem,Obyvatelstvo - ekon. aktivita: ostatní s vlastním zdrojem obživy - muži,Obyvatelstvo - ekon. aktivita: ostatní s vlastním zdrojem obživy - ženy,Obyvatelstvo - ekon. aktivita: osoby na rodičovské dovolené - celkem,Obyvatelstvo - ekon. aktivita: osoby na rodičovské dovolené - muži,Obyvatelstvo - ekon. aktivita: osoby na rodičovské dovolené - ženy,"Obyvatelstvo - ekon. aktivita: osoby v domácnosti, děti předškolního věku, ostatní závislé osoby - celkem","Obyvatelstvo - ekon. aktivita: osoby v domácnosti, děti předškolního věku, ostatní závislé osoby - muži","Obyvatelstvo - ekon. aktivita: osoby v domácnosti, děti předškolního věku, ostatní závislé osoby - ženy","Obyvatelstvo - ekon. aktivita: žáci, studenti - celkem","Obyvatelstvo - ekon. aktivita: žáci, studenti - muži","Obyvatelstvo - ekon. aktivita: žáci, studenti - ženy",Obyvatelstvo - ekon. aktivita: nezjištěno - celkem,Obyvatelstvo - ekon. aktivita: nezjištěno - muži,Obyvatelstvo - ekon. aktivita: nezjištěno - ženy
1270600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50005401,550,310,240,528,303,225,46,23,23,64,38,26,2,0,2,22,7,15,394,170,224,162,49,113,8,6,2,16,0,16,76,45,31,132,70,62,33,20,13
50005402,1133,633,500,1093,609,484,70,38,32,130,67,63,7,0,7,40,24,16,676,287,389,278,111,167,21,10,11,15,1,14,136,64,72,226,101,125,86,53,33
50005403,1047,594,453,993,562,431,71,36,35,114,62,52,2,0,2,54,32,22,572,248,324,272,98,174,13,11,2,17,0,17,98,53,45,172,86,86,72,43,29
50005404,1760,973,787,1684,930,754,127,54,73,194,100,94,9,0,9,76,43,33,829,369,460,317,120,197,13,11,2,23,1,22,168,85,83,308,152,156,97,66,31
50005405,1489,771,718,1438,752,686,146,65,81,132,62,70,7,0,7,51,19,32,787,346,441,276,103,173,19,10,9,28,0,28,166,79,87,298,154,144,67,29,38
50005407,1979,1058,921,1892,1015,877,156,65,91,207,102,105,12,1,11,87,43,44,1108,487,621,409,162,247,17,11,6,38,1,37,216,107,109,428,206,222,91,53,38
50005408,2748,1602,1146,2587,1501,1086,247,126,121,237,121,116,11,1,10,161,101,60,1398,637,761,526,222,304,31,14,17,41,1,40,282,138,144,518,262,256,219,138,81
50005409,1053,585,468,991,547,444,98,50,48,108,47,61,4,0,4,62,38,24,547,247,300,184,80,104,12,9,3,10,0,10,116,52,64,225,106,119,55,28,27
50005411,859,419,440,827,407,420,69,33,36,104,52,52,3,0,3,32,12,20,472,198,274,197,70,127,9,4,5,16,0,16,102,48,54,148,76,72,46,21,25
50005412,1292,708,584,1240,684,556,108,53,55,179,93,86,6,0,6,52,24,28,764,322,442,307,119,188,16,11,5,27,0,27,148,60,88,266,132,134,45,28,17
50005413,19,12,7,19,12,7,1,1,0,5,3,2,0,0,0,0,0,0,9,4,5,3,0,3,1,1,0,1,0,1,1,0,1,3,3,0,0,0,0
