kod_nadzsj_d,Obyvatelstvo celkem,Obyvatelstvo celkem - muži,Obyvatelstvo celkem - ženy,"Obyvatelstvo - náboženská víra: věřící - nehlásící se k církvi, náboženské společnosti nebo směru - celkem","Obyvatelstvo - náboženská víra: věřící - nehlásící se k církvi, náboženské společnosti nebo směru - muži","Obyvatelstvo - náboženská víra: věřící - nehlásící se k církvi, náboženské společnosti nebo směru - ženy","Obyvatelstvo - náboženská víra: věřící - hlásící se k církvi, náboženské společnosti nebo směru - celkem","Obyvatelstvo - náboženská víra: věřící - hlásící se k církvi, náboženské společnosti nebo směru - muži","Obyvatelstvo - náboženská víra: věřící - hlásící se k církvi, náboženské společnosti nebo směru - ženy",Obyvatelstvo - náboženská víra: bez náboženské víry - celkem,Obyvatelstvo - náboženská víra: bez náboženské víry - muži,Obyvatelstvo - náboženská víra: bez náboženské víry - ženy,Obyvatelstvo - náboženská víra: neuvedeno - celkem,Obyvatelstvo - náboženská víra: neuvedeno - muži,Obyvatelstvo - náboženská víra: neuvedeno - ženy
1270600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50005401,977,500,477,125,56,69,159,79,80,361,193,168,332,172,160
50005402,1895,973,922,227,107,120,251,110,141,737,366,371,680,390,290
50005403,1691,885,806,240,107,133,240,117,123,644,355,289,567,306,261
50005404,2686,1408,1278,376,173,203,392,211,181,1010,513,497,908,511,397
50005405,2343,1146,1197,275,126,149,348,152,196,1032,517,515,688,351,337
50005407,3178,1598,1580,409,180,229,452,236,216,1363,704,659,954,478,476
50005408,4365,2377,1988,548,272,276,564,279,285,1748,961,787,1505,865,640
50005409,1655,860,795,204,101,103,187,94,93,744,391,353,520,274,246
50005411,1377,638,739,177,80,97,280,115,165,475,233,242,445,210,235
50005412,2101,1058,1043,295,132,163,308,144,164,858,442,416,640,340,300
50005413,28,16,12,3,1,2,2,0,2,12,7,5,11,8,3
50005414,90,51,39,16,10,6,38,23,15,22,11,11,14,7,7
50005416,581,314,267,89,37,52,188,113,75,180,95,85,124,69,55
1318060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3174620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3183960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50022401,42,6,36,0,0,0,0,0,0,0,0,0,42,6,36
50022402,2058,1008,1050,276,144,132,296,123,173,925,464,461,561,277,284
50022404,1094,538,556,110,48,62,186,92,94,515,255,260,283,143,140
50022405,541,265,276,85,37,48,66,32,34,243,119,124,147,77,70
50022406,918,427,491,112,46,66,111,48,63,458,212,246,237,121,116
50022407,333,177,156,37,20,17,49,21,28,158,91,67,89,45,44
50022408,5734,2776,2958,693,307,386,699,314,385,2784,1399,1385,1558,756,802
50022409,97,56,41,6,3,3,9,5,4,60,34,26,22,14,8
50022410,316,152,164,30,13,17,46,22,24,157,76,81,83,41,42
50022411,4429,2040,2389,498,228,270,458,197,261,2204,1066,1138,1269,549,720
50022413,5328,2506,2822,564,226,338,637,297,340,2854,1382,1472,1273,601,672
50022414,3086,1765,1321,214,89,125,210,88,122,1305,726,579,1357,862,495
50022415,3828,1808,2020,477,200,277,498,230,268,1773,858,915,1080,520,560
50022416,4829,2317,2512,606,236,370,597,272,325,2370,1173,1197,1256,636,620
50022417,2265,1050,1215,281,104,177,257,115,142,1143,553,590,584,278,306
50022418,2828,1423,1405,366,179,187,316,148,168,1381,683,698,765,413,352
50022419,3736,1765,1971,433,184,249,439,209,230,1822,874,948,1042,498,544
50022421,27,22,5,2,2,0,4,3,1,11,8,3,10,9,1
50022422,2798,1314,1484,283,114,169,349,161,188,1368,686,682,798,353,445
50022424,156,87,69,13,6,7,18,8,10,99,59,40,26,14,12
50022425,250,125,125,28,12,16,15,7,8,124,66,58,83,40,43
50022426,1219,593,626,164,81,83,148,76,72,546,260,286,361,176,185
50022427,4497,2170,2327,462,206,256,504,225,279,2319,1147,1172,1212,592,620
50022428,2945,1407,1538,302,128,174,352,159,193,1510,735,775,781,385,396
50022429,1436,643,793,139,52,87,143,57,86,768,359,409,386,175,211
50022430,3908,1844,2064,398,159,239,435,185,250,2114,1027,1087,961,473,488
50022431,1077,483,594,113,40,73,125,64,61,514,244,270,325,135,190
50022432,4072,1927,2145,424,182,242,494,215,279,1990,967,1023,1164,563,601
50022433,2303,1107,1196,247,97,150,258,118,140,1167,594,573,631,298,333
50022434,4594,2192,2402,463,193,270,527,234,293,2365,1178,1187,1239,587,652
50022436,1194,573,621,95,48,47,123,61,62,677,335,342,299,129,170
50022437,4021,1882,2139,425,192,233,491,208,283,1968,956,1012,1137,526,611
50022438,2118,1001,1117,204,85,119,286,123,163,1048,519,529,580,274,306
50022439,165,128,37,19,13,6,32,23,9,77,60,17,37,32,5
50022440,7519,3399,4120,856,325,531,855,334,521,3871,1865,2006,1937,875,1062
50022441,580,263,317,48,16,32,38,15,23,333,162,171,161,70,91
50022442,2849,1268,1581,258,125,133,264,100,164,1373,659,714,954,384,570
50022443,117,77,40,18,10,8,11,7,4,69,49,20,19,11,8
50022444,2041,993,1048,216,88,128,228,97,131,1019,506,513,578,302,276
50022445,4424,2071,2353,452,185,267,552,259,293,2104,999,1105,1316,628,688
50022446,74,43,31,15,7,8,14,9,5,22,11,11,23,16,7
50022447,4492,2158,2334,447,182,265,547,225,322,2309,1157,1152,1189,594,595
50022448,5487,2717,2770,525,242,283,753,361,392,2660,1332,1328,1549,782,767
50022449,121,51,70,6,2,4,10,1,9,54,25,29,51,23,28
50022450,2398,1080,1318,231,97,134,316,113,203,1238,583,655,613,287,326
50022451,3274,1548,1726,328,137,191,399,180,219,1649,795,854,898,436,462
50022452,615,310,305,69,27,42,55,20,35,297,153,144,194,110,84
50022453,1888,889,999,216,81,135,219,96,123,961,468,493,492,244,248
50022454,54,28,26,2,2,0,7,4,3,13,7,6,32,15,17
50022455,202,104,98,30,13,17,39,17,22,86,49,37,47,25,22
1282440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3157700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54703402,2799,1386,1413,243,104,139,276,137,139,1559,791,768,721,354,367
54703403,1023,457,566,122,43,79,88,38,50,525,238,287,288,138,150
54703404,5267,2484,2783,432,185,247,462,200,262,2838,1350,1488,1535,749,786
54703405,1873,934,939,160,73,87,228,94,134,1012,527,485,473,240,233
54703407,7674,3527,4147,679,260,419,716,312,404,4097,1904,2193,2182,1051,1131
54703408,4893,2300,2593,429,175,254,487,218,269,2569,1213,1356,1408,694,714
54703409,5651,2739,2912,492,211,281,573,259,314,3045,1503,1542,1541,766,775
54703410,5529,2660,2869,502,209,293,648,297,351,2929,1449,1480,1450,705,745
54703411,108,51,57,14,9,5,21,11,10,52,23,29,21,8,13
54703412,323,221,102,1,1,0,2,0,2,4,3,1,316,217,99
54703413,5984,2849,3135,577,257,320,654,292,362,2987,1439,1548,1766,861,905
54703414,2979,1453,1526,279,116,163,323,154,169,1554,745,809,823,438,385
54703415,4123,1909,2214,391,166,225,446,182,264,2066,995,1071,1220,566,654
54703417,1817,819,998,163,70,93,263,92,171,924,440,484,467,217,250
54703418,5336,2720,2616,448,213,235,483,217,266,2542,1272,1270,1863,1018,845
54703419,2042,1007,1035,191,89,102,251,116,135,1125,568,557,475,234,241
54703420,4899,2314,2585,441,184,257,504,230,274,2567,1244,1323,1387,656,731
54703421,6262,3040,3222,639,289,350,630,290,340,3337,1672,1665,1656,789,867
54703422,3520,1576,1944,376,157,219,385,149,236,1786,836,950,973,434,539
1284490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3158000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3158420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3161720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3162700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3162880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3163180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3298270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54710701,73,35,38,4,3,1,5,2,3,47,24,23,17,6,11
54710702,22,13,9,1,0,1,5,3,2,14,8,6,2,2,0
54710703,1038,531,507,97,45,52,73,41,32,588,305,283,280,140,140
54710707,870,416,454,62,29,33,89,37,52,461,222,239,258,128,130
54710708,4595,2153,2442,414,169,245,401,164,237,2509,1231,1278,1271,589,682
54710710,3234,1492,1742,292,112,180,293,136,157,1797,855,942,852,389,463
54710711,5021,2370,2651,427,180,247,458,203,255,2793,1342,1451,1343,645,698
54710712,974,463,511,86,39,47,70,29,41,566,284,282,252,111,141
54710713,5305,2477,2828,477,203,274,524,238,286,2816,1309,1507,1488,727,761
54710714,26,13,13,2,1,1,0,0,0,15,6,9,9,6,3
54710715,1304,633,671,132,60,72,127,54,73,735,354,381,310,165,145
54710716,513,239,274,39,19,20,60,25,35,277,134,143,137,61,76
54710717,2028,953,1075,176,70,106,202,98,104,1082,545,537,568,240,328
54710718,4427,2161,2266,411,191,220,487,231,256,2386,1176,1210,1143,563,580
54710719,335,165,170,42,17,25,42,17,25,160,82,78,91,49,42
54710720,173,89,84,18,10,8,18,10,8,95,45,50,42,24,18
54710721,506,250,256,56,23,33,55,26,29,255,129,126,140,72,68
54710722,146,75,71,10,4,6,20,10,10,64,38,26,52,23,29
54710723,4802,2284,2518,433,184,249,498,232,266,2370,1149,1221,1501,719,782
54710724,2639,1475,1164,208,98,110,221,105,116,1263,680,583,947,592,355
54710725,5598,2682,2916,476,189,287,560,267,293,2994,1477,1517,1568,749,819
54710726,4864,2422,2442,477,231,246,470,235,235,2543,1230,1313,1374,726,648
54710728,677,345,332,100,50,50,66,37,29,346,175,171,165,83,82
54710729,2831,1342,1489,254,111,143,291,130,161,1517,722,795,769,379,390
54710730,731,379,352,75,43,32,70,38,32,395,199,196,191,99,92
54710731,1974,965,1009,186,73,113,248,118,130,932,488,444,608,286,322
54710734,1854,896,958,153,64,89,218,106,112,939,449,490,544,277,267
54710735,31,18,13,2,1,1,1,0,1,18,10,8,10,7,3
3163690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3168650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3168730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3168810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3168900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3169030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3183700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3205520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53969401,38,19,19,4,3,1,12,7,5,16,6,10,6,3,3
53969402,4950,2333,2617,473,198,275,534,228,306,2648,1280,1368,1295,627,668
53969403,97,46,51,16,6,10,18,8,10,43,22,21,20,10,10
53969404,5275,2689,2586,616,263,353,645,305,340,2011,1002,1009,2003,1119,884
53969405,6011,2871,3140,603,260,343,701,298,403,3116,1556,1560,1591,757,834
53969406,2805,1392,1413,304,134,170,334,163,171,1416,720,696,751,375,376
53969407,1901,906,995,207,90,117,192,84,108,956,470,486,546,262,284
53969408,4452,2068,2384,395,171,224,434,190,244,2360,1135,1225,1263,572,691
53969410,335,173,162,29,10,19,25,14,11,179,94,85,102,55,47
