kod_nadzsj_d,Obyvatelstvo celkem,Obyvatelstvo celkem - muži,Obyvatelstvo celkem - ženy,Obyvatelstvo - státní občanství: Česká republika - celkem,Obyvatelstvo - státní občanství: Česká republika - muži,Obyvatelstvo - státní občanství: Česká republika - ženy,Obyvatelstvo - státní občanství: Slovenská republika - celkem,Obyvatelstvo - státní občanství: Slovenská republika - muži,Obyvatelstvo - státní občanství: Slovenská  republika - ženy,Obyvatelstvo - státní občanství: země EU mimo ČR - celkem,Obyvatelstvo - státní občanství: země EU mimo ČR - muži,Obyvatelstvo - státní občanství: země EU mimo ČR - ženy,Obyvatelstvo - bez státního občanství - celkem,Obyvatelstvo - bez státního občanství - muži,Obyvatelstvo - bez státního občanství - ženy,Obyvatelstvo - státní občanství: nezjištěno - celkem,Obyvatelstvo - státní občanství: nezjištěno - muži,Obyvatelstvo - státní občanství: nezjištěno - ženy
0000940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0026912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0037270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0040312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0043590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0044480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0044560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0049872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0049952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0059322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0064750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0066450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0071530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0101890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0102430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0105700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0106850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0110370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0112910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0113800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0118780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0119410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0119590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0120500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0121900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0124750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0125720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0132260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0134710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0136760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0139430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0139780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0139860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0141250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0143200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0143540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0143620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0146640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0147530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0147962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0148510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0152702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0155470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0165350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0165510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0170270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0183680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0183760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0184060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0184650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0184810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0192670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0192750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0195770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0199170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0202732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0204350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0213512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0214660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0214820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0215120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0218570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0218650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0218900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0219890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0220120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0221010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0221360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0221610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0222332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0225270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0228020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0230192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0230602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0236040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0250032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0250540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0252670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0252830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0252910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0256740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0260260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0265222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0266202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0268410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0270490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0275880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0277072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
