kod_nadzsj_d,Obyvatelstvo - zaměstnaní - celkem,Obyvatelstvo - zaměstnaní - muži,Obyvatelstvo - zaměstnaní - ženy,"Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: zemědělství, lesnictví ,rybářství - celkem",Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: průmysl - celkem,Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: stavebnictví - celkem,"Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: velkoobchod a maloobchod, opravy a údržba motorových vozidel - celkem",Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: doprava a skladování - celkem,"Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: ubytování, stravování a pohostinství - celkem",Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: informační a komunikační činnosti - celkem,Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: peněžnictví a pojišťovnictví - celkem,"Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: činnosti v oblasti nemovitostí, profesní, věd. a tech. činnosti a administr. a podpůrné činnosti - celkem","Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: veřejná správa a obrana, povinné sociální zabezpečení - celkem",Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: vzdělávání - celkem,Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: zdravotní a sociální péče - celkem,Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: nezjištěno - celkem,"Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: bez vzdělání,základní vč. nedokončeného - celkem","Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: bez vzdělání,základní vč. nedokončeného - muži","Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: bez vzdělání,základní vč. nedokončeného - ženy",Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: střední vč. vyučení (bez maturity) - celkem,Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: střední vč. vyučení (bez maturity) - muži,Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: střední vč. vyučení (bez maturity) - ženy,"Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: úplné střední (s maturitou), nástavbové, pomaturitní - celkem","Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: úplné střední (s maturitou), nástavbové, pomaturitní - muži","Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: úplné střední (s maturitou), nástavbové, pomaturitní - ženy",Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vyšší odborné. konzervatoř - celkem,"Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vyšší odborné¨, konzervatoř - muži","Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vyšší odborné, konzervatoř - ženy",Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vysokoškolské - celkem,Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vysokoškolské - muži,Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vysokoškolské - ženy,Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: nezjištěno - celkem,Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: nezjištěno - muži,Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: nezjištěno - ženy
1270600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50005401,528,303,225,2,38,26,53,12,42,49,21,128,16,33,48,8,12,7,5,41,30,11,160,88,72,8,4,4,262,140,122,45,34,11
50005402,1093,609,484,8,68,41,115,26,73,99,33,321,53,61,48,20,27,17,10,85,51,34,318,182,136,27,11,16,524,272,252,112,76,36
50005403,993,562,431,10,59,47,118,33,71,85,22,245,44,74,52,15,30,18,12,105,71,34,309,179,130,46,17,29,419,215,204,84,62,22
50005404,1684,930,754,12,121,52,198,64,162,151,57,390,66,103,90,29,66,41,25,162,99,63,529,288,241,33,16,17,754,394,360,140,92,48
50005405,1438,752,686,7,119,41,138,43,65,184,48,353,64,103,68,23,40,24,16,105,76,29,398,204,194,42,21,21,763,367,396,90,60,30
50005407,1892,1015,877,14,131,70,181,69,115,193,82,416,94,140,136,28,71,42,29,178,118,60,581,307,274,74,33,41,900,455,445,88,60,28
50005408,2587,1501,1086,20,167,110,304,96,199,258,92,598,100,171,130,48,121,66,55,265,195,70,790,442,348,65,31,34,1093,594,499,253,173,80
50005409,991,547,444,6,82,17,118,45,75,103,35,226,57,79,62,10,30,21,9,118,71,47,302,162,140,30,19,11,450,233,217,61,41,20
50005411,827,407,420,6,45,26,67,11,51,85,21,189,33,52,92,21,28,11,17,58,30,28,209,108,101,30,13,17,465,221,244,37,24,13
50005412,1240,684,556,8,91,42,118,42,70,133,36,275,42,108,73,26,32,21,11,109,79,30,344,173,171,38,25,13,639,342,297,78,44,34
50005413,19,12,7,0,1,0,3,1,4,2,0,5,0,1,0,1,2,2,0,3,1,2,7,5,2,0,0,0,6,4,2,1,0,1
50005414,59,42,17,1,5,1,2,1,0,4,2,7,9,3,4,2,3,3,0,4,4,0,10,6,4,0,0,0,40,29,11,2,0,2
50005416,353,203,150,3,21,13,16,5,13,36,4,67,24,45,26,2,11,8,3,25,21,4,99,52,47,14,9,5,189,101,88,15,12,3
1318060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3174620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3183960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
