kod_nadzsj_d,Obyvatelstvo - zaměstnaní - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnanci - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnavatelé - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: osoby pracující na vlastní účet - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: nezjištěno - celkem,Obyvatelstvo - zaměstnaní - věk: 15 - 24  - celkem,Obyvatelstvo - zaměstnaní - věk: 25 - 34  - celkem,Obyvatelstvo - zaměstnaní - věk: 35 - 44  - celkem,Obyvatelstvo - zaměstnaní - věk: 45 - 54  - celkem,Obyvatelstvo - zaměstnaní - věk: 55 - 59  - celkem,Obyvatelstvo - zaměstnaní - věk: 60 - 64  - celkem,Obyvatelstvo - zaměstnaní - věk: 65 a více  - celkem
1270600,0,0,0,0,0,0,0,0,0,0,0,0
1271590,0,0,0,0,0,0,0,0,0,0,0,0
3182130,0,0,0,0,0,0,0,0,0,0,0,0
3182640,0,0,0,0,0,0,0,0,0,0,0,0
50005401,528,313,8,133,74,44,97,113,141,44,30,59
50005402,1093,661,10,283,139,66,255,232,248,108,75,109
50005403,993,569,8,264,152,59,243,210,220,94,75,92
50005404,1684,1031,20,420,213,121,465,365,327,140,106,160
50005405,1438,789,9,401,239,120,438,295,274,130,73,108
50005407,1892,1197,10,430,255,131,509,397,422,161,104,168
50005408,2587,1482,18,670,417,249,814,536,491,187,121,189
50005409,991,611,11,206,163,105,277,199,206,66,55,83
50005411,827,496,9,231,91,50,177,196,176,76,64,88
50005412,1240,667,15,381,177,95,272,262,294,94,79,144
50005413,19,9,0,7,3,3,2,3,5,1,2,3
50005414,59,38,0,16,5,0,11,8,12,11,4,13
50005416,353,223,2,89,39,11,75,77,72,36,32,50
1318060,0,0,0,0,0,0,0,0,0,0,0,0
1318570,0,0,0,0,0,0,0,0,0,0,0,0
1324620,0,0,0,0,0,0,0,0,0,0,0,0
1324710,0,0,0,0,0,0,0,0,0,0,0,0
3174620,0,0,0,0,0,0,0,0,0,0,0,0
3183960,0,0,0,0,0,0,0,0,0,0,0,0
50022401,0,0,0,0,0,0,0,0,0,0,0,0
50022402,1281,800,13,265,203,72,443,360,213,80,41,72
50022404,566,321,9,155,81,31,92,147,134,41,37,84
50022405,337,213,3,76,45,38,118,91,47,23,14,6
50022406,518,370,1,97,50,31,166,109,96,42,28,46
50022407,192,132,0,38,22,17,82,62,23,3,3,2
50022408,3545,2409,23,758,355,214,1193,918,650,246,152,172
50022409,63,38,1,15,9,8,12,12,14,5,5,7
50022410,189,126,2,46,15,6,36,47,49,14,18,19
50022411,2644,1831,11,540,262,164,805,652,525,182,133,183
50022413,3000,2181,25,538,256,214,796,780,599,212,153,246
50022414,1487,1036,5,249,197,84,334,365,333,170,104,97
50022415,2319,1562,14,486,257,184,834,555,365,147,96,138
50022416,2954,2059,11,561,323,217,936,695,554,235,124,193
50022417,1269,908,11,228,122,83,337,334,222,106,85,102
50022418,1889,1181,7,465,236,156,736,473,288,120,59,57
50022419,2374,1551,20,516,287,152,782,610,444,163,113,110
50022421,26,20,0,0,6,0,5,6,7,6,0,2
50022422,1383,968,7,254,154,77,276,379,344,109,60,138
50022424,51,37,0,6,8,4,9,11,16,5,4,2
50022425,124,79,2,32,11,10,17,28,29,23,7,10
50022426,749,531,5,137,76,40,290,184,104,49,33,49
50022427,2604,1920,13,402,269,180,667,702,484,204,168,199
50022428,1615,1161,8,286,160,95,426,436,316,137,75,130
50022429,770,581,4,118,67,56,204,186,138,80,43,63
50022430,1957,1364,14,415,164,102,349,587,456,144,114,205
50022431,566,412,5,97,52,31,128,131,111,68,38,59
50022432,2451,1747,13,435,256,176,726,598,504,188,115,144
50022433,1285,929,8,200,148,121,309,330,271,99,76,79
50022434,2757,1962,14,500,281,183,738,656,595,222,177,186
50022436,617,461,1,111,44,31,135,172,155,44,38,42
50022437,2056,1508,10,333,205,138,490,506,462,179,103,178
50022438,1068,732,14,237,85,65,230,273,248,67,77,108
50022439,102,92,0,3,7,2,8,17,37,17,15,6
50022440,4117,3044,15,657,401,267,1185,1008,765,350,256,286
50022441,324,247,1,44,32,41,36,65,119,33,19,11
50022442,1336,948,15,270,103,67,247,432,315,105,75,95
50022443,57,34,0,3,20,3,4,6,19,10,5,10
50022444,1294,968,4,218,104,57,335,403,300,86,57,56
50022445,2362,1775,9,324,254,180,536,646,474,243,121,162
50022446,43,28,0,9,6,2,6,12,15,6,1,1
50022447,2426,1726,11,458,231,153,537,564,573,222,148,229
50022448,3177,2305,22,553,297,213,730,876,678,305,169,206
50022449,57,35,2,11,9,6,6,16,16,5,3,5
50022450,1289,927,5,246,111,60,263,358,255,110,111,132
