Column Names;use
;
NUTS_2;
naz_oblast;
NUTS_3;
naz_kraj;
kod_okres;
naz_okres;
kod_orp;
naz_orp;
kod_obec;
naz_obec;
kod_mco;
nazev_mco;
nadzsjd;
Obydlené byty v domech celkem - způsob vytápění: ústřední (dálkové);0
Obydlené byty v rodinných domech - způsob vytápění: ústřední (dálkové);0
Obydlené byty v bytových domech - způsob vytápění: ústřední (dálkové);0
Počet osob v bytech celkem  - způsob vytápění: ústřední (dálkové);0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední (dálkové);0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední (dálkové);0
Obydlené byty v domech celkem - způsob vytápění: ústřední domovní;0
Obydlené byty v rodinných domech - způsob vytápění:  ústřední domovní;0
Obydlené byty v bytových domech - způsob vytápění:  ústřední domovní;0
Počet osob v bytech celkem  - způsob vytápění: ústřední  domovní;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední domovní;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední  domovní;0
Obydlené byty v domech celkem - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v bytových domech - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech celkem  - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v domech celkem - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v bytových domech - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech celkem  - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v domech celkem - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Obydlené byty v bytových domech - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Počet osob v bytech celkem  - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Obydlené byty v domech celkem - způsob vytápění: ústřední domovní - používaná energie: elektřina;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: elektřina;0
Obydlené byty v bytových domech - způsob vytápění: ústřední domovní -  používaná energie: elektřina;0
Počet osob v bytech celkem  - způsob vytápění: ústřední domovní - používaná energie: elektřina;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: elektřina;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední domovní - používaná energie: elektřina;0
Obydlené byty v domech celkem - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Obydlené byty v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Obydlené byty v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Počet osob v bytech celkem  - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Obydlené byty v domech celkem - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech celkem  - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v domech celkem - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech celkem  - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v domech celkem - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Obydlené byty v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Počet osob v bytech celkem  - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Obydlené byty v domech celkem - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Obydlené byty v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Počet osob v bytech celkem  - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
