,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Obyvatelstvo - věk: 85 a více  - celkem,0.017104258230057283,0.23044984837926705,-0.2832524829497968,-0.10356528099596644,-0.2330047910131511,-0.06205255556313623,-0.43567095289857244,-0.04012399731153408,-0.13788446031790721,0.2142362816889782,0.17395840099536727,0.3812550878811238,-0.13976979311023152,0.18636206544035375,-0.09993678508391307,0.06291680760891845,0.05351909686556814,-0.04071116533394339,-0.0049531161031599715,-0.09030716259245224,-0.0315415845984427,0.006285625667114741,-0.04950650198597105,0.1078671320681048,0.015935913990729255,0.0834232500162574,0.019190929653495573,-0.026974345065392487,-0.015331386422645888
Obyvatelstvo - věk: 0 - 6  - celkem,-0.04344777036824513,-0.2549824694938628,0.32056619863912617,0.1432754176976983,0.2881418847022256,0.06206008675818682,-0.2336470896209046,-0.07346421813976622,-0.3111112363879333,-0.034531493266803465,-0.3363607002722184,-0.10336666473960883,-0.03278517596368662,0.25093588112884374,-0.062124803200165106,0.14272392885027582,-0.07917644718645667,-0.0071836762773853915,0.12816903383684183,-0.016469665398023036,0.0020958440152466684,-0.12183752298300549,0.2434136713196093,-0.045596731731018796,0.0441309623390548,-0.11450562284219941,-0.166808631336271,0.018546991408798855,-0.008500700038904638
Obyvatelstvo - věk: 7 - 14  - celkem,-0.0670736901664987,-0.12959923322583938,0.4453884673487523,0.14318251187163406,0.3036928244239937,0.02553546848119289,-0.08930409291012624,-0.35492742006455913,-0.12411154132301051,0.1297770072300983,0.06921537775410086,-0.023720351032408632,0.0001257866712977163,-0.3590274177276303,-0.04447710420785516,-0.07456717891137954,0.11550848489574383,0.05879127738275142,0.020263279409044772,0.05843532636875366,0.05834695521844747,-0.023050233622719317,-0.10708709001726757,0.13137941568907874,-0.015439033152492208,-0.02337777371211642,0.07203788501888586,-0.00033497449214810995,0.08606037962110287
Obyvatelstvo - věk: 15 - 24  - celkem,-0.05848009621375198,-0.12669282623562245,0.07515558948212901,0.05450034684247483,0.256860952068896,-0.05224444002843004,0.10926979984869671,0.1541607575312698,0.2345649163432994,0.06740502030629132,0.625572197242913,-0.1949397319722419,-0.01994070156293078,0.03639771485173109,0.1704069410322709,-0.026175781699458982,-0.021503654902393032,-0.08159893853689458,-0.05698723597401401,-0.06349790872331433,-0.018020476549689673,0.16483508083780468,-0.026636476288261764,-0.04663056728110766,0.017958102648723457,0.13604501609948066,0.1904431929626354,-0.010211167970143667,-0.1705706013732679
Obyvatelstvo - věk: 25 - 34  - celkem,-0.08386242170942987,-0.4903929117881451,-0.15412428569048486,0.07197339615865651,0.11656994473347722,0.050368702671205655,-0.018370912033093566,0.4221980030578094,-0.11025867654876756,-0.13527295050023996,-0.19693924464574472,-0.05056775225748652,-0.011361124682058556,0.4214624210389322,-0.02873316430194018,0.06139291541327164,-0.1178654130025836,-0.04713925971916368,0.027299036405778562,0.031077502702519553,-0.05237830424835329,-0.07295747397714204,0.17628359981285155,-0.0430066003176621,0.03537461604521903,0.04098930803425811,-0.06533248518274541,0.020296517783958055,-0.014980643986750404
Obyvatelstvo - věk: 35 - 44  - celkem,-0.05639400909399795,-0.3598777571067382,0.278575997525334,0.13469980526591166,0.24533089051923307,0.0505448828656032,0.00958464843701967,-0.16187149217635471,-0.1315970842062356,0.04105803387691279,-0.2899913199942358,0.235928077825198,0.15716825743632834,-0.20655078547838485,-0.1330375026379763,-0.0943765995711394,0.2898788993015447,0.014700557449021628,-0.05839780487101742,-0.00226403624299907,0.10549159333250811,0.11161903684268923,-0.20043246032606574,-0.001185735536505127,-0.02978214000212849,0.09332832871436235,0.19240144187829245,-0.07584496032679298,0.06747130611394032
Obyvatelstvo - věk: 45 - 54  - celkem,0.0467846338131004,0.009178053327987231,0.05027375706035028,-0.04547866131193054,0.004546868855186781,0.01601220596854257,0.44617715596604823,0.11201081677801802,0.38378404529088667,-0.027542570341392184,0.4471585299039962,0.043741378267544886,-0.19378456873784092,-0.03412015966897538,0.11424618149133392,-0.0465569658781578,0.051130458571106444,0.05625294272736045,-0.007498808159034765,0.24641318693753397,0.008453085219224714,-0.1647983510047424,0.08238258742870692,-0.005472644682065425,-0.03718544536996575,-0.13800151468415778,-0.27781281378169387,0.034628887745578936,0.12858866675893676
Obyvatelstvo - věk: 55 - 64  - celkem,0.08758500900389897,0.2672350640998491,-0.16437689213821935,-0.09135739619092363,-0.22202744878241315,-0.0018158929883224553,0.1977143528109901,0.14102948654355335,0.15058104437924855,-0.1433534232019886,-0.32134348481974245,-0.06768927578464479,0.055718613633495284,-0.06525531491010662,-0.19357286751922095,0.1946276472680821,-0.21576333554484486,0.11889063808031457,-0.04840252178998797,-0.42838346725886417,-0.16555657785499936,0.05592534422483984,-0.284432811077602,0.16620592402688414,0.005480757712899233,0.1140773267886133,0.0036653545245308936,0.10675329256855245,-0.1558112648764269
Obyvatelstvo - věk: 65 - 74  - celkem,0.09103011375667862,0.4827201727700186,-0.23807544773045977,-0.12855368277823984,-0.33330262079389883,-0.03267872318050996,0.0014078857772616504,-0.2586978013765556,0.013340002373045525,-0.039174191632783247,-0.12184249256581058,-0.13069480248629006,0.17057616470668371,-0.18891588528144113,0.14176020374689047,-0.13983176061577046,-0.06966849117565033,-0.06509530329648622,-0.030913161483688976,0.14792686734062346,0.0698899016438888,0.053388015326189,0.030757031492787766,-0.1954258913650394,-0.00312916983295296,-0.13663032500529762,0.05515163213186433,-0.08657935310345154,0.05561093486140084
Obyvatelstvo - věk: 75 - 84  - celkem,0.031280678865605926,0.3654988120034935,-0.2937347740764075,-0.16476223429445638,-0.37831096350396554,-0.08685674058265419,-0.3224987584910759,-0.002505835860980442,-0.12446664373751964,0.09597405671596076,0.13029911915223436,0.0829390947477842,-0.11049292847192654,0.0743328723344329,0.09333419958085229,-0.031567638496130215,0.06574432443222854,-0.029814276615237046,0.07144473473936046,0.0787449195078172,0.02175392949388143,-0.020414787887813934,0.1727630518216892,0.018814124455255363,-0.020930624574702694,-0.006196872741790594,-0.010070357844584026,0.01867975265312167,0.007289477639784943
